Package	Version
abind	1.4-5
askpass	1.1
backports	1.4.1
base64enc	0.1-3
BH	1.81.0-1
Biobase	2.60.0
BiocGenerics	0.46.0
BiocIO	1.10.0
BiocManager	1.30.22
BiocParallel	1.34.2
BiocVersion	3.17.1
Biostrings	2.68.1
bit	4.0.5
bit64	4.0.5
bitops	1.0-7
blob	1.2.4
brew	1.0-8
brio	1.1.3
broom	1.0.5
bslib	0.5.1
cachem	1.0.8
calibrate	1.7.7
callr	3.7.3
cellranger	1.1.0
circlize	0.4.15
cli	3.6.1
clipr	0.8.0
clue	0.3-64
colorspace	2.1-0
commonmark	1.9.0
ComplexHeatmap	2.16.0
conflicted	1.2.0
cowplot	1.1.1
cpp11	0.4.6
crayon	1.5.2
credentials	1.3.2
crosstalk	1.2.0
curl	5.0.2
data.table	1.14.8
DBI	1.1.3
dbplyr	2.3.3
dbscan	1.1-11
DelayedArray	0.26.7
desc	1.4.2
devtools	2.4.5
diffobj	0.3.5
digest	0.6.33
docopt	0.7.1
doParallel	1.0.17
downlit	0.4.3
dplyr	1.1.2
dtplyr	1.3.1
ellipsis	0.3.2
evaluate	0.21
fansi	1.0.4
farver	2.1.1
fastmap	1.1.1
fontawesome	0.5.2
forcats	1.0.0
foreach	1.5.2
formatR	1.14
fs	1.6.3
futile.logger	1.4.3
futile.options	1.0.1
gargle	1.5.2
generics	0.1.3
GENESPACE	1.3.1
GenomeInfoDb	1.36.1
GenomeInfoDbData	1.2.10
GenomicAlignments	1.36.0
GenomicRanges	1.52.0
gert	1.9.3
GetoptLong	1.0.5
ggplot2	3.4.3
ggrepel	0.9.3
gh	1.4.0
gitcreds	0.1.2
GlobalOptions	0.1.2
glue	1.6.2
googledrive	2.1.1
googlesheets4	1.1.1
gridExtra	2.3
gtable	0.3.4
haven	2.5.3
here	1.0.1
highr	0.10
hms	1.1.3
htmltools	0.5.6
htmlwidgets	1.6.2
httpuv	1.6.11
httr	1.4.7
httr2	0.2.3
ids	1.0.1
igraph	1.5.1
ini	0.3.1
IRanges	2.34.1
isoband	0.2.7
iterators	1.0.14
janeaustenr	1.0.0
jquerylib	0.1.4
jsonlite	1.8.7
kableExtra	1.3.4
knitr	1.43
labeling	0.4.2
lambda.r	1.2.4
later	1.3.1
lazyeval	0.2.2
lifecycle	1.0.3
littler	0.3.18
lubridate	1.9.2
magrittr	2.0.3
MatrixGenerics	1.12.3
matrixStats	1.0.0
memoise	2.0.1
mime	0.12
miniUI	0.1.1.1
modelr	0.1.11
munsell	0.5.0
openssl	2.1.0
pacman	0.5.1
patchwork	1.1.3
pheatmap	1.0.12
pillar	1.9.0
pkgbuild	1.4.2
pkgconfig	2.0.3
pkgdown	2.0.7
pkgload	1.3.2.1
plotly	4.10.2
png	0.1-8
praise	1.0.0
prettyunits	1.1.1
processx	3.8.2
profvis	0.3.8
progress	1.2.2
promises	1.2.1
ps	1.7.5
purrr	1.0.2
R.methodsS3	1.8.2
R.oo	1.25.0
R.utils	2.12.2
R6	2.5.1
ragg	1.2.5
rappdirs	0.3.3
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.0.11
RcppParallel	5.1.7
RcppTOML	0.2.2
RCurl	1.98-1.12
readr	2.1.4
readxl	1.4.3
rematch	1.0.1
rematch2	2.1.2
remotes	2.4.2.1
reprex	2.0.2
restfulr	0.0.15
reticulate	1.31
Rhtslib	2.2.0
rjson	0.2.21
rlang	1.1.1
rmarkdown	2.24
roxygen2	7.2.3
rprojroot	2.0.3
Rsamtools	2.16.0
rstudioapi	0.15.0
rtracklayer	1.60.1
rversions	2.1.2
rvest	1.0.3
S4Arrays	1.0.5
S4Vectors	0.38.1
sass	0.4.7
scales	1.2.1
selectr	0.4-2
sessioninfo	1.2.2
shape	1.4.6
shiny	1.7.5
snow	0.4-4
SnowballC	0.7.1
sourcetools	0.1.7-1
stringi	1.7.12
stringr	1.5.0
SummarizedExperiment	1.30.2
svglite	2.1.1
sys	3.4.2
systemfonts	1.0.4
testthat	3.1.10
textshaping	0.3.6
tibble	3.2.1
tidyr	1.3.0
tidyselect	1.2.0
tidytext	0.4.1
tidyverse	2.0.0
timechange	0.2.0
tinytex	0.46
tokenizers	0.3.0
tzdb	0.4.0
urlchecker	1.0.1
usethis	2.2.2
utf8	1.2.3
uuid	1.1-1
vctrs	0.6.3
viridisLite	0.4.2
vroom	1.6.3
waldo	0.5.1
webshot	0.5.5
whisker	0.4.1
withr	2.5.0
xfun	0.40
XML	3.99-0.14
xml2	1.3.5
xopen	1.0.0
xtable	1.8-4
XVector	0.40.0
yaml	2.3.7
zip	2.3.0
zlibbioc	1.46.0
